,,,,,,,,,,,,Revenue Analysis,,,,,,,
,Hillocks Hotel & Spa,,,,,,,,,,,,,,,,,,
,Starting Date: ,,01/08/2024 ,,,,,,,,,,,,,,,,
,Ending Date: ,31/08/2024 ,,,,,,,,,,,,,,,,,
,Nights:31,,,,,,,,,,,,,,,,,,
Room Type Analysis,,,,,,,,,,,,,,,,,,,
Room Type,,,,,Available,,Rented,,Revenue,,ADR,,,Ocp,,RevPar,,,
Deluxe Suite King,,,,,341,,154,,6303.72,,40.93,,,45%,,18.49,,,
Deluxe Suite ,,,,,124,,36,,1574.32,,43.73,,,29%,,12.70,,,
Jacuzzi Suite,,,,,124,,29,,2194.53,,75.67,,,23%,,17.70,,,
Presidential Suite,,,,,31,,2,,240.00,,120.00,,,6%,,7.74,,,
Residence Suite,,,,,62,,9,,687.38,,76.38,,,15%,,11.09,,,
Superior Twin,,,,,124,,33,,1302.79,,39.48,,,27%,,10.51,,,
Villa Suite,,,,,372,,107,,4844.46,,45.28,,,29%,,13.02,,,
,,,,,1178,,370,,17147.20,,46.35,,,31%,,14.56,,,
Daily Analysis,,,,,,,,,,,,,,,,,,,
Date,,,,,,Available,,Rented,,Revenue,,,ADR,,Ocp,,,RevPAR,
01/08/2024,,,,Thu,,38,,19,,842.83,,,44.36,,50%,,,22.18,
02/08/2024,,,,Fri,,38,,32,,1440.08,,,45.00,,84%,,,37.90,
03/08/2024,,,,Sat,,38,,37,,1792.14,,,48.44,,97%,,,47.16,
04/08/2024,,,,Sun,,38,,34,,1551.38,,,45.63,,89%,,,40.82,
05/08/2024,,,,Mon,,38,,17,,783.40,,,46.08,,45%,,,20.62,
06/08/2024,,,,Tue,,38,,7,,362.40,,,51.77,,18%,,,9.54,
07/08/2024,,,,Wed,,38,,9,,529.61,,,58.85,,24%,,,13.93,
08/08/2024,,,,Thu,,38,,12,,615.86,,,51.32,,32%,,,16.21,
09/08/2024,,,,Fri,,38,,19,,895.81,,,47.15,,50%,,,23.57,
10/08/2024,,,,Sat,,38,,36,,1694.51,,,47.07,,95%,,,44.59,
11/08/2024,,,,Sun,,38,,22,,1091.90,,,49.63,,58%,,,28.73,
12/08/2024,,,,Mon,,38,,13,,738.55,,,56.81,,34%,,,19.44,
13/08/2024,,,,Tue,,38,,12,,571.03,,,47.59,,32%,,,15.03,
14/08/2024,,,,Wed,,38,,15,,550.20,,,36.68,,39%,,,14.48,
15/08/2024,,,,Thu,,38,,16,,694.26,,,43.39,,42%,,,18.27,
16/08/2024,,,,Fri,,38,,11,,468.73,,,42.61,,29%,,,12.34,
17/08/2024,,,,Sat,,38,,12,,491.77,,,40.98,,32%,,,12.94,
18/08/2024,,,,Sun,,38,,8,,328.36,,,41.04,,21%,,,8.64,
19/08/2024,,,,Mon,,38,,7,,293.15,,,41.88,,18%,,,7.71,
20/08/2024,,,,Tue,,38,,6,,253.98,,,42.33,,16%,,,6.68,
21/08/2024,,,,Wed,,38,,4,,170.82,,,42.70,,11%,,,4.50,
22/08/2024,,,,Thu,,38,,2,,80.59,,,40.30,,5%,,,2.12,
23/08/2024,,,,Fri,,38,,1,,36.00,,,36.00,,3%,,,0.95,
24/08/2024,,,,Sat,,38,,3,,155.98,,,51.99,,8%,,,4.10,
25/08/2024,,,,Sun,,38,,1,,36.00,,,36.00,,3%,,,0.95,
26/08/2024,,,,Mon,,38,,2,,72.00,,,36.00,,5%,,,1.89,
27/08/2024,,,,Tue,,38,,3,,132.98,,,44.33,,8%,,,3.50,
28/08/2024,,,,Wed,,38,,3,,132.96,,,44.32,,8%,,,3.50,
29/08/2024,,,,Thu,,38,,3,,132.96,,,44.32,,8%,,,3.50,
30/08/2024,,,,Fri,,38,,4,,206.96,,,51.74,,11%,,,5.45,
31/08/2024,,,,Sat,,38,,0,,0.00,,,0.00,,0%,,,0.00,
,15/08/2024 02:16 PM,,,,,,,,,,,,,,,,Page 1 of ,,1
